,ds,holiday
0,2014-04-18,Karfreitag
1,2014-12-25,1. Weihnachtstag
2,2014-05-29,Christi Himmelfahrt
3,2014-04-21,Ostermontag
4,2014-10-31,Reformationstag
5,2014-06-09,Pfingstmontag
6,2014-06-08,Pfingstsonntag
7,2014-01-01,Neujahrstag
8,2014-10-03,Tag der Deutschen Einheit
9,2014-05-01,Tag der Arbeit
10,2014-04-20,Ostersonntag
11,2014-12-26,2. Weihnachtstag
12,2015-04-03,Karfreitag
13,2015-12-25,1. Weihnachtstag
14,2015-05-14,Christi Himmelfahrt
15,2015-04-06,Ostermontag
16,2015-10-31,Reformationstag
17,2015-05-25,Pfingstmontag
18,2015-05-24,Pfingstsonntag
19,2015-01-01,Neujahrstag
20,2015-10-03,Tag der Deutschen Einheit
21,2015-05-01,Tag der Arbeit
22,2015-04-05,Ostersonntag
23,2015-12-26,2. Weihnachtstag
24,2016-03-25,Karfreitag
25,2016-12-25,1. Weihnachtstag
26,2016-05-05,Christi Himmelfahrt
27,2016-03-28,Ostermontag
28,2016-10-31,Reformationstag
29,2016-05-16,Pfingstmontag
30,2016-05-15,Pfingstsonntag
31,2016-01-01,Neujahrstag
32,2016-10-03,Tag der Deutschen Einheit
33,2016-05-01,Tag der Arbeit
34,2016-03-27,Ostersonntag
35,2016-12-26,2. Weihnachtstag
36,2017-04-14,Karfreitag
37,2017-12-25,1. Weihnachtstag
38,2017-05-25,Christi Himmelfahrt
39,2017-04-17,Ostermontag
40,2017-10-31,Reformationstag
41,2017-06-05,Pfingstmontag
42,2017-06-04,Pfingstsonntag
43,2017-01-01,Neujahrstag
44,2017-10-03,Tag der Deutschen Einheit
45,2017-05-01,Tag der Arbeit
46,2017-04-16,Ostersonntag
47,2017-12-26,2. Weihnachtstag
48,2018-03-30,Karfreitag
49,2018-12-25,1. Weihnachtstag
50,2018-05-10,Christi Himmelfahrt
51,2018-04-02,Ostermontag
52,2018-10-31,Reformationstag
53,2018-05-21,Pfingstmontag
54,2018-05-20,Pfingstsonntag
55,2018-01-01,Neujahrstag
56,2018-10-03,Tag der Deutschen Einheit
57,2018-05-01,Tag der Arbeit
58,2018-04-01,Ostersonntag
59,2018-12-26,2. Weihnachtstag
