,ds,holiday
0,2014-06-09,Pfingstmontag
1,2014-04-18,Karfreitag
2,2014-12-25,1. Weihnachtstag
3,2014-05-29,Christi Himmelfahrt
4,2014-01-01,Neujahrstag
5,2014-10-03,Tag der Deutschen Einheit
6,2014-05-01,Tag der Arbeit
7,2014-04-21,Ostermontag
8,2014-12-26,2. Weihnachtstag
9,2015-05-25,Pfingstmontag
10,2015-04-03,Karfreitag
11,2015-12-25,1. Weihnachtstag
12,2015-05-14,Christi Himmelfahrt
13,2015-01-01,Neujahrstag
14,2015-10-03,Tag der Deutschen Einheit
15,2015-05-01,Tag der Arbeit
16,2015-04-06,Ostermontag
17,2015-12-26,2. Weihnachtstag
18,2016-05-16,Pfingstmontag
19,2016-03-25,Karfreitag
20,2016-12-25,1. Weihnachtstag
21,2016-05-05,Christi Himmelfahrt
22,2016-01-01,Neujahrstag
23,2016-10-03,Tag der Deutschen Einheit
24,2016-05-01,Tag der Arbeit
25,2016-03-28,Ostermontag
26,2016-12-26,2. Weihnachtstag
27,2017-06-05,Pfingstmontag
28,2017-04-14,Karfreitag
29,2017-12-25,1. Weihnachtstag
30,2017-05-25,Christi Himmelfahrt
31,2017-12-26,2. Weihnachtstag
32,2017-01-01,Neujahrstag
33,2017-10-03,Tag der Deutschen Einheit
34,2017-05-01,Tag der Arbeit
35,2017-04-17,Ostermontag
36,2017-10-31,Reformationstag
37,2018-05-21,Pfingstmontag
38,2018-03-30,Karfreitag
39,2018-12-25,1. Weihnachtstag
40,2018-05-10,Christi Himmelfahrt
41,2018-01-01,Neujahrstag
42,2018-10-03,Tag der Deutschen Einheit
43,2018-05-01,Tag der Arbeit
44,2018-04-02,Ostermontag
45,2018-12-26,2. Weihnachtstag
