,ds,holiday
0,2014-04-18,Karfreitag
1,2014-12-25,1. Weihnachtstag
2,2014-05-29,Christi Himmelfahrt
3,2014-01-06,Heilige Drei Könige
4,2014-04-17,Gründonnerstag
5,2014-04-21,Ostermontag
6,2014-10-31,Reformationstag
7,2014-11-01,Allerheiligen
8,2014-06-09,Pfingstmontag
9,2014-06-19,Fronleichnam
10,2014-01-01,Neujahrstag
11,2014-10-03,Tag der Deutschen Einheit
12,2014-05-01,Tag der Arbeit
13,2014-12-26,2. Weihnachtstag
14,2015-04-03,Karfreitag
15,2015-12-25,1. Weihnachtstag
16,2015-05-14,Christi Himmelfahrt
17,2015-01-06,Heilige Drei Könige
18,2015-04-02,Gründonnerstag
19,2015-04-06,Ostermontag
20,2015-10-31,Reformationstag
21,2015-11-01,Allerheiligen
22,2015-05-25,Pfingstmontag
23,2015-06-04,Fronleichnam
24,2015-01-01,Neujahrstag
25,2015-10-03,Tag der Deutschen Einheit
26,2015-05-01,Tag der Arbeit
27,2015-12-26,2. Weihnachtstag
28,2016-03-25,Karfreitag
29,2016-12-25,1. Weihnachtstag
30,2016-05-05,Christi Himmelfahrt
31,2016-01-06,Heilige Drei Könige
32,2016-03-24,Gründonnerstag
33,2016-03-28,Ostermontag
34,2016-10-31,Reformationstag
35,2016-11-01,Allerheiligen
36,2016-05-16,Pfingstmontag
37,2016-05-26,Fronleichnam
38,2016-01-01,Neujahrstag
39,2016-10-03,Tag der Deutschen Einheit
40,2016-05-01,Tag der Arbeit
41,2016-12-26,2. Weihnachtstag
42,2017-04-14,Karfreitag
43,2017-12-25,1. Weihnachtstag
44,2017-05-25,Christi Himmelfahrt
45,2017-01-06,Heilige Drei Könige
46,2017-04-13,Gründonnerstag
47,2017-04-17,Ostermontag
48,2017-10-31,Reformationstag
49,2017-11-01,Allerheiligen
50,2017-06-05,Pfingstmontag
51,2017-06-15,Fronleichnam
52,2017-01-01,Neujahrstag
53,2017-10-03,Tag der Deutschen Einheit
54,2017-05-01,Tag der Arbeit
55,2017-12-26,2. Weihnachtstag
56,2018-03-30,Karfreitag
57,2018-12-25,1. Weihnachtstag
58,2018-05-10,Christi Himmelfahrt
59,2018-01-06,Heilige Drei Könige
60,2018-03-29,Gründonnerstag
61,2018-04-02,Ostermontag
62,2018-10-31,Reformationstag
63,2018-11-01,Allerheiligen
64,2018-05-21,Pfingstmontag
65,2018-05-31,Fronleichnam
66,2018-01-01,Neujahrstag
67,2018-10-03,Tag der Deutschen Einheit
68,2018-05-01,Tag der Arbeit
69,2018-12-26,2. Weihnachtstag
