,ds,holiday
0,2014-04-18,Karfreitag
1,2014-12-25,1. Weihnachtstag
2,2014-05-29,Christi Himmelfahrt
3,2014-01-06,Heilige Drei Könige
4,2014-04-21,Ostermontag
5,2014-08-08,Augsburger Friedensfest
6,2014-06-09,Pfingstmontag
7,2014-06-19,Fronleichnam
8,2014-11-19,Buß- und Bettag
9,2014-11-01,Allerheiligen
10,2014-01-01,Neujahrstag
11,2014-08-15,Mariä Himmelfahrt
12,2014-10-03,Tag der Deutschen Einheit
13,2014-05-01,Tag der Arbeit
14,2014-12-26,2. Weihnachtstag
15,2015-04-03,Karfreitag
16,2015-12-25,1. Weihnachtstag
17,2015-05-14,Christi Himmelfahrt
18,2015-01-06,Heilige Drei Könige
19,2015-04-06,Ostermontag
20,2015-08-08,Augsburger Friedensfest
21,2015-05-25,Pfingstmontag
22,2015-06-04,Fronleichnam
23,2015-11-18,Buß- und Bettag
24,2015-11-01,Allerheiligen
25,2015-01-01,Neujahrstag
26,2015-08-15,Mariä Himmelfahrt
27,2015-10-03,Tag der Deutschen Einheit
28,2015-05-01,Tag der Arbeit
29,2015-12-26,2. Weihnachtstag
30,2016-03-25,Karfreitag
31,2016-12-25,1. Weihnachtstag
32,2016-05-05,Christi Himmelfahrt
33,2016-01-06,Heilige Drei Könige
34,2016-03-28,Ostermontag
35,2016-08-08,Augsburger Friedensfest
36,2016-05-16,Pfingstmontag
37,2016-05-26,Fronleichnam
38,2016-11-16,Buß- und Bettag
39,2016-11-01,Allerheiligen
40,2016-01-01,Neujahrstag
41,2016-08-15,Mariä Himmelfahrt
42,2016-10-03,Tag der Deutschen Einheit
43,2016-05-01,Tag der Arbeit
44,2016-12-26,2. Weihnachtstag
45,2017-04-14,Karfreitag
46,2017-12-25,1. Weihnachtstag
47,2017-05-25,Christi Himmelfahrt
48,2017-01-06,Heilige Drei Könige
49,2017-04-17,Ostermontag
50,2017-10-31,Reformationstag
51,2017-08-08,Augsburger Friedensfest
52,2017-06-05,Pfingstmontag
53,2017-06-15,Fronleichnam
54,2017-11-22,Buß- und Bettag
55,2017-11-01,Allerheiligen
56,2017-01-01,Neujahrstag
57,2017-08-15,Mariä Himmelfahrt
58,2017-10-03,Tag der Deutschen Einheit
59,2017-05-01,Tag der Arbeit
60,2017-12-26,2. Weihnachtstag
61,2018-03-30,Karfreitag
62,2018-12-25,1. Weihnachtstag
63,2018-05-10,Christi Himmelfahrt
64,2018-01-06,Heilige Drei Könige
65,2018-04-02,Ostermontag
66,2018-08-08,Augsburger Friedensfest
67,2018-05-21,Pfingstmontag
68,2018-05-31,Fronleichnam
69,2018-11-21,Buß- und Bettag
70,2018-11-01,Allerheiligen
71,2018-01-01,Neujahrstag
72,2018-08-15,Mariä Himmelfahrt
73,2018-10-03,Tag der Deutschen Einheit
74,2018-05-01,Tag der Arbeit
75,2018-12-26,2. Weihnachtstag
