,ds,holiday
0,2014-06-09,Pfingstmontag
1,2014-06-19,Fronleichnam
2,2014-04-18,Karfreitag
3,2014-12-25,1. Weihnachtstag
4,2014-05-29,Christi Himmelfahrt
5,2014-01-01,Neujahrstag
6,2014-10-03,Tag der Deutschen Einheit
7,2014-05-01,Tag der Arbeit
8,2014-04-21,Ostermontag
9,2014-12-26,2. Weihnachtstag
10,2015-05-25,Pfingstmontag
11,2015-06-04,Fronleichnam
12,2015-04-03,Karfreitag
13,2015-12-25,1. Weihnachtstag
14,2015-05-14,Christi Himmelfahrt
15,2015-01-01,Neujahrstag
16,2015-10-03,Tag der Deutschen Einheit
17,2015-05-01,Tag der Arbeit
18,2015-04-06,Ostermontag
19,2015-12-26,2. Weihnachtstag
20,2016-05-16,Pfingstmontag
21,2016-05-26,Fronleichnam
22,2016-03-25,Karfreitag
23,2016-12-25,1. Weihnachtstag
24,2016-05-05,Christi Himmelfahrt
25,2016-01-01,Neujahrstag
26,2016-10-03,Tag der Deutschen Einheit
27,2016-05-01,Tag der Arbeit
28,2016-03-28,Ostermontag
29,2016-12-26,2. Weihnachtstag
30,2017-06-05,Pfingstmontag
31,2017-06-15,Fronleichnam
32,2017-04-14,Karfreitag
33,2017-12-25,1. Weihnachtstag
34,2017-05-25,Christi Himmelfahrt
35,2017-12-26,2. Weihnachtstag
36,2017-01-01,Neujahrstag
37,2017-10-03,Tag der Deutschen Einheit
38,2017-05-01,Tag der Arbeit
39,2017-04-17,Ostermontag
40,2017-10-31,Reformationstag
41,2018-05-21,Pfingstmontag
42,2018-05-31,Fronleichnam
43,2018-03-30,Karfreitag
44,2018-12-25,1. Weihnachtstag
45,2018-05-10,Christi Himmelfahrt
46,2018-01-01,Neujahrstag
47,2018-10-03,Tag der Deutschen Einheit
48,2018-05-01,Tag der Arbeit
49,2018-04-02,Ostermontag
50,2018-12-26,2. Weihnachtstag
