,ds,holiday
0,2014-06-09,Pfingstmontag
1,2014-04-18,Karfreitag
2,2014-12-25,1. Weihnachtstag
3,2014-05-29,Christi Himmelfahrt
4,2014-12-26,2. Weihnachtstag
5,2014-01-01,Neujahrstag
6,2014-10-03,Tag der Deutschen Einheit
7,2014-05-01,Tag der Arbeit
8,2014-04-21,Ostermontag
9,2014-10-31,Reformationstag
10,2015-05-25,Pfingstmontag
11,2015-04-03,Karfreitag
12,2015-12-25,1. Weihnachtstag
13,2015-05-14,Christi Himmelfahrt
14,2015-12-26,2. Weihnachtstag
15,2015-01-01,Neujahrstag
16,2015-10-03,Tag der Deutschen Einheit
17,2015-05-01,Tag der Arbeit
18,2015-04-06,Ostermontag
19,2015-10-31,Reformationstag
20,2016-05-16,Pfingstmontag
21,2016-03-25,Karfreitag
22,2016-12-25,1. Weihnachtstag
23,2016-05-05,Christi Himmelfahrt
24,2016-12-26,2. Weihnachtstag
25,2016-01-01,Neujahrstag
26,2016-10-03,Tag der Deutschen Einheit
27,2016-05-01,Tag der Arbeit
28,2016-03-28,Ostermontag
29,2016-10-31,Reformationstag
30,2017-06-05,Pfingstmontag
31,2017-04-14,Karfreitag
32,2017-12-25,1. Weihnachtstag
33,2017-05-25,Christi Himmelfahrt
34,2017-12-26,2. Weihnachtstag
35,2017-01-01,Neujahrstag
36,2017-10-03,Tag der Deutschen Einheit
37,2017-05-01,Tag der Arbeit
38,2017-04-17,Ostermontag
39,2017-10-31,Reformationstag
40,2018-05-21,Pfingstmontag
41,2018-03-30,Karfreitag
42,2018-12-25,1. Weihnachtstag
43,2018-05-10,Christi Himmelfahrt
44,2018-12-26,2. Weihnachtstag
45,2018-01-01,Neujahrstag
46,2018-10-03,Tag der Deutschen Einheit
47,2018-05-01,Tag der Arbeit
48,2018-04-02,Ostermontag
49,2018-10-31,Reformationstag
