,ds,holiday
0,2014-11-01,Allerheiligen
1,2014-12-25,1. Weihnachtstag
2,2014-05-29,Christi Himmelfahrt
3,2014-01-01,Neujahrstag
4,2014-04-21,Ostermontag
5,2014-06-09,Pfingstmontag
6,2014-06-19,Fronleichnam
7,2014-04-18,Karfreitag
8,2014-08-15,Mariä Himmelfahrt
9,2014-10-03,Tag der Deutschen Einheit
10,2014-05-01,Tag der Arbeit
11,2014-12-26,2. Weihnachtstag
12,2015-11-01,Allerheiligen
13,2015-12-25,1. Weihnachtstag
14,2015-05-14,Christi Himmelfahrt
15,2015-01-01,Neujahrstag
16,2015-04-06,Ostermontag
17,2015-05-25,Pfingstmontag
18,2015-06-04,Fronleichnam
19,2015-04-03,Karfreitag
20,2015-08-15,Mariä Himmelfahrt
21,2015-10-03,Tag der Deutschen Einheit
22,2015-05-01,Tag der Arbeit
23,2015-12-26,2. Weihnachtstag
24,2016-11-01,Allerheiligen
25,2016-12-25,1. Weihnachtstag
26,2016-05-05,Christi Himmelfahrt
27,2016-01-01,Neujahrstag
28,2016-03-28,Ostermontag
29,2016-05-16,Pfingstmontag
30,2016-05-26,Fronleichnam
31,2016-03-25,Karfreitag
32,2016-08-15,Mariä Himmelfahrt
33,2016-10-03,Tag der Deutschen Einheit
34,2016-05-01,Tag der Arbeit
35,2016-12-26,2. Weihnachtstag
36,2017-11-01,Allerheiligen
37,2017-12-25,1. Weihnachtstag
38,2017-05-25,Christi Himmelfahrt
39,2017-01-01,Neujahrstag
40,2017-04-17,Ostermontag
41,2017-10-31,Reformationstag
42,2017-06-05,Pfingstmontag
43,2017-06-15,Fronleichnam
44,2017-04-14,Karfreitag
45,2017-08-15,Mariä Himmelfahrt
46,2017-10-03,Tag der Deutschen Einheit
47,2017-05-01,Tag der Arbeit
48,2017-12-26,2. Weihnachtstag
49,2018-11-01,Allerheiligen
50,2018-12-25,1. Weihnachtstag
51,2018-05-10,Christi Himmelfahrt
52,2018-01-01,Neujahrstag
53,2018-04-02,Ostermontag
54,2018-05-21,Pfingstmontag
55,2018-05-31,Fronleichnam
56,2018-03-30,Karfreitag
57,2018-08-15,Mariä Himmelfahrt
58,2018-10-03,Tag der Deutschen Einheit
59,2018-05-01,Tag der Arbeit
60,2018-12-26,2. Weihnachtstag
