,ds,holiday
0,2014-04-14,Osterferien
1,2014-04-15,Osterferien
2,2014-04-16,Osterferien
3,2014-04-17,Osterferien
4,2014-04-18,Osterferien
5,2014-04-19,Osterferien
6,2014-04-20,Osterferien
7,2014-04-21,Osterferien
8,2014-04-22,Osterferien
9,2014-04-23,Osterferien
10,2014-04-24,Osterferien
11,2014-04-25,Osterferien
12,2014-04-26,Osterferien
13,2014-06-10,Pfingstferien
14,2014-06-11,Pfingstferien
15,2014-06-12,Pfingstferien
16,2014-06-13,Pfingstferien
17,2014-06-14,Pfingstferien
18,2014-06-15,Pfingstferien
19,2014-06-16,Pfingstferien
20,2014-06-17,Pfingstferien
21,2014-06-18,Pfingstferien
22,2014-06-19,Pfingstferien
23,2014-06-20,Pfingstferien
24,2014-06-21,Pfingstferien
25,2014-06-22,Pfingstferien
26,2014-07-31,Sommerferien
27,2014-08-01,Sommerferien
28,2014-08-02,Sommerferien
29,2014-08-03,Sommerferien
30,2014-08-04,Sommerferien
31,2014-08-05,Sommerferien
32,2014-08-06,Sommerferien
33,2014-08-07,Sommerferien
34,2014-08-08,Sommerferien
35,2014-08-09,Sommerferien
36,2014-08-10,Sommerferien
37,2014-08-11,Sommerferien
38,2014-08-12,Sommerferien
39,2014-08-13,Sommerferien
40,2014-08-14,Sommerferien
41,2014-08-15,Sommerferien
42,2014-08-16,Sommerferien
43,2014-08-17,Sommerferien
44,2014-08-18,Sommerferien
45,2014-08-19,Sommerferien
46,2014-08-20,Sommerferien
47,2014-08-21,Sommerferien
48,2014-08-22,Sommerferien
49,2014-08-23,Sommerferien
50,2014-08-24,Sommerferien
51,2014-08-25,Sommerferien
52,2014-08-26,Sommerferien
53,2014-08-27,Sommerferien
54,2014-08-28,Sommerferien
55,2014-08-29,Sommerferien
56,2014-08-30,Sommerferien
57,2014-08-31,Sommerferien
58,2014-09-01,Sommerferien
59,2014-09-02,Sommerferien
60,2014-09-03,Sommerferien
61,2014-09-04,Sommerferien
62,2014-09-05,Sommerferien
63,2014-09-06,Sommerferien
64,2014-09-07,Sommerferien
65,2014-09-08,Sommerferien
66,2014-09-09,Sommerferien
67,2014-09-10,Sommerferien
68,2014-09-11,Sommerferien
69,2014-09-12,Sommerferien
70,2014-09-13,Sommerferien
71,2014-09-14,Sommerferien
72,2014-10-27,Herbstferien
73,2014-10-28,Herbstferien
74,2014-10-29,Herbstferien
75,2014-10-30,Herbstferien
76,2014-10-31,Herbstferien
77,2014-12-22,Weihnachtsferien
78,2014-12-23,Weihnachtsferien
79,2014-12-24,Weihnachtsferien
80,2014-12-25,Weihnachtsferien
81,2014-12-26,Weihnachtsferien
82,2014-12-27,Weihnachtsferien
83,2014-12-28,Weihnachtsferien
84,2014-12-29,Weihnachtsferien
85,2014-12-30,Weihnachtsferien
86,2014-12-31,Weihnachtsferien
87,2015-01-01,Weihnachtsferien
88,2015-01-02,Weihnachtsferien
89,2015-01-03,Weihnachtsferien
90,2015-01-04,Weihnachtsferien
91,2015-01-05,Weihnachtsferien
92,2015-01-06,Weihnachtsferien
93,2015-03-30,Osterferien
94,2015-03-31,Osterferien
95,2015-04-01,Osterferien
96,2015-04-02,Osterferien
97,2015-04-03,Osterferien
98,2015-04-04,Osterferien
99,2015-04-05,Osterferien
100,2015-04-06,Osterferien
101,2015-04-07,Osterferien
102,2015-04-08,Osterferien
103,2015-04-09,Osterferien
104,2015-04-10,Osterferien
105,2015-04-11,Osterferien
106,2015-05-26,Pfingstferien
107,2015-05-27,Pfingstferien
108,2015-05-28,Pfingstferien
109,2015-05-29,Pfingstferien
110,2015-05-30,Pfingstferien
111,2015-05-31,Pfingstferien
112,2015-06-01,Pfingstferien
113,2015-06-02,Pfingstferien
114,2015-06-03,Pfingstferien
115,2015-06-04,Pfingstferien
116,2015-06-05,Pfingstferien
117,2015-06-06,Pfingstferien
118,2015-06-07,Pfingstferien
119,2015-07-30,Sommerferien
120,2015-07-31,Sommerferien
121,2015-08-01,Sommerferien
122,2015-08-02,Sommerferien
123,2015-08-03,Sommerferien
124,2015-08-04,Sommerferien
125,2015-08-05,Sommerferien
126,2015-08-06,Sommerferien
127,2015-08-07,Sommerferien
128,2015-08-08,Sommerferien
129,2015-08-09,Sommerferien
130,2015-08-10,Sommerferien
131,2015-08-11,Sommerferien
132,2015-08-12,Sommerferien
133,2015-08-13,Sommerferien
134,2015-08-14,Sommerferien
135,2015-08-15,Sommerferien
136,2015-08-16,Sommerferien
137,2015-08-17,Sommerferien
138,2015-08-18,Sommerferien
139,2015-08-19,Sommerferien
140,2015-08-20,Sommerferien
141,2015-08-21,Sommerferien
142,2015-08-22,Sommerferien
143,2015-08-23,Sommerferien
144,2015-08-24,Sommerferien
145,2015-08-25,Sommerferien
146,2015-08-26,Sommerferien
147,2015-08-27,Sommerferien
148,2015-08-28,Sommerferien
149,2015-08-29,Sommerferien
150,2015-08-30,Sommerferien
151,2015-08-31,Sommerferien
152,2015-09-01,Sommerferien
153,2015-09-02,Sommerferien
154,2015-09-03,Sommerferien
155,2015-09-04,Sommerferien
156,2015-09-05,Sommerferien
157,2015-09-06,Sommerferien
158,2015-09-07,Sommerferien
159,2015-09-08,Sommerferien
160,2015-09-09,Sommerferien
161,2015-09-10,Sommerferien
162,2015-09-11,Sommerferien
163,2015-09-12,Sommerferien
164,2015-09-13,Sommerferien
165,2015-11-02,Herbstferien
166,2015-11-03,Herbstferien
167,2015-11-04,Herbstferien
168,2015-11-05,Herbstferien
169,2015-11-06,Herbstferien
170,2015-11-07,Herbstferien
171,2015-12-23,Weihnachtsferien
172,2015-12-24,Weihnachtsferien
173,2015-12-25,Weihnachtsferien
174,2015-12-26,Weihnachtsferien
175,2015-12-27,Weihnachtsferien
176,2015-12-28,Weihnachtsferien
177,2015-12-29,Weihnachtsferien
178,2015-12-30,Weihnachtsferien
179,2015-12-31,Weihnachtsferien
180,2016-01-01,Weihnachtsferien
181,2016-01-02,Weihnachtsferien
182,2016-01-03,Weihnachtsferien
183,2016-01-04,Weihnachtsferien
184,2016-01-05,Weihnachtsferien
185,2016-01-06,Weihnachtsferien
186,2016-01-07,Weihnachtsferien
187,2016-01-08,Weihnachtsferien
188,2016-01-09,Weihnachtsferien
189,2016-01-10,Weihnachtsferien
190,2016-03-29,Osterferien
191,2016-03-30,Osterferien
192,2016-03-31,Osterferien
193,2016-04-01,Osterferien
194,2016-04-02,Osterferien
195,2016-04-03,Osterferien
196,2016-05-17,Pfingstferien
197,2016-05-18,Pfingstferien
198,2016-05-19,Pfingstferien
199,2016-05-20,Pfingstferien
200,2016-05-21,Pfingstferien
201,2016-05-22,Pfingstferien
202,2016-05-23,Pfingstferien
203,2016-05-24,Pfingstferien
204,2016-05-25,Pfingstferien
205,2016-05-26,Pfingstferien
206,2016-05-27,Pfingstferien
207,2016-05-28,Pfingstferien
208,2016-05-29,Pfingstferien
209,2016-07-28,Sommerferien
210,2016-07-29,Sommerferien
211,2016-07-30,Sommerferien
212,2016-07-31,Sommerferien
213,2016-08-01,Sommerferien
214,2016-08-02,Sommerferien
215,2016-08-03,Sommerferien
216,2016-08-04,Sommerferien
217,2016-08-05,Sommerferien
218,2016-08-06,Sommerferien
219,2016-08-07,Sommerferien
220,2016-08-08,Sommerferien
221,2016-08-09,Sommerferien
222,2016-08-10,Sommerferien
223,2016-08-11,Sommerferien
224,2016-08-12,Sommerferien
225,2016-08-13,Sommerferien
226,2016-08-14,Sommerferien
227,2016-08-15,Sommerferien
228,2016-08-16,Sommerferien
229,2016-08-17,Sommerferien
230,2016-08-18,Sommerferien
231,2016-08-19,Sommerferien
232,2016-08-20,Sommerferien
233,2016-08-21,Sommerferien
234,2016-08-22,Sommerferien
235,2016-08-23,Sommerferien
236,2016-08-24,Sommerferien
237,2016-08-25,Sommerferien
238,2016-08-26,Sommerferien
239,2016-08-27,Sommerferien
240,2016-08-28,Sommerferien
241,2016-08-29,Sommerferien
242,2016-08-30,Sommerferien
243,2016-08-31,Sommerferien
244,2016-09-01,Sommerferien
245,2016-09-02,Sommerferien
246,2016-09-03,Sommerferien
247,2016-09-04,Sommerferien
248,2016-09-05,Sommerferien
249,2016-09-06,Sommerferien
250,2016-09-07,Sommerferien
251,2016-09-08,Sommerferien
252,2016-09-09,Sommerferien
253,2016-09-10,Sommerferien
254,2016-09-11,Sommerferien
255,2016-11-02,Herbstferien
256,2016-11-03,Herbstferien
257,2016-11-04,Herbstferien
258,2016-11-05,Herbstferien
259,2016-12-23,Weihnachtsferien
260,2016-12-24,Weihnachtsferien
261,2016-12-25,Weihnachtsferien
262,2016-12-26,Weihnachtsferien
263,2016-12-27,Weihnachtsferien
264,2016-12-28,Weihnachtsferien
265,2016-12-29,Weihnachtsferien
266,2016-12-30,Weihnachtsferien
267,2016-12-31,Weihnachtsferien
268,2017-01-01,Weihnachtsferien
269,2017-01-02,Weihnachtsferien
270,2017-01-03,Weihnachtsferien
271,2017-01-04,Weihnachtsferien
272,2017-01-05,Weihnachtsferien
273,2017-01-06,Weihnachtsferien
274,2017-01-07,Weihnachtsferien
275,2017-01-08,Weihnachtsferien
276,2017-04-10,Osterferien
277,2017-04-11,Osterferien
278,2017-04-12,Osterferien
279,2017-04-13,Osterferien
280,2017-04-14,Osterferien
281,2017-04-15,Osterferien
282,2017-04-16,Osterferien
283,2017-04-17,Osterferien
284,2017-04-18,Osterferien
285,2017-04-19,Osterferien
286,2017-04-20,Osterferien
287,2017-04-21,Osterferien
288,2017-04-22,Osterferien
289,2017-06-06,Pfingstferien
290,2017-06-07,Pfingstferien
291,2017-06-08,Pfingstferien
292,2017-06-09,Pfingstferien
293,2017-06-10,Pfingstferien
294,2017-06-11,Pfingstferien
295,2017-06-12,Pfingstferien
296,2017-06-13,Pfingstferien
297,2017-06-14,Pfingstferien
298,2017-06-15,Pfingstferien
299,2017-06-16,Pfingstferien
300,2017-06-17,Pfingstferien
301,2017-07-27,Sommerferien
302,2017-07-28,Sommerferien
303,2017-07-29,Sommerferien
304,2017-07-30,Sommerferien
305,2017-07-31,Sommerferien
306,2017-08-01,Sommerferien
307,2017-08-02,Sommerferien
308,2017-08-03,Sommerferien
309,2017-08-04,Sommerferien
310,2017-08-05,Sommerferien
311,2017-08-06,Sommerferien
312,2017-08-07,Sommerferien
313,2017-08-08,Sommerferien
314,2017-08-09,Sommerferien
315,2017-08-10,Sommerferien
316,2017-08-11,Sommerferien
317,2017-08-12,Sommerferien
318,2017-08-13,Sommerferien
319,2017-08-14,Sommerferien
320,2017-08-15,Sommerferien
321,2017-08-16,Sommerferien
322,2017-08-17,Sommerferien
323,2017-08-18,Sommerferien
324,2017-08-19,Sommerferien
325,2017-08-20,Sommerferien
326,2017-08-21,Sommerferien
327,2017-08-22,Sommerferien
328,2017-08-23,Sommerferien
329,2017-08-24,Sommerferien
330,2017-08-25,Sommerferien
331,2017-08-26,Sommerferien
332,2017-08-27,Sommerferien
333,2017-08-28,Sommerferien
334,2017-08-29,Sommerferien
335,2017-08-30,Sommerferien
336,2017-08-31,Sommerferien
337,2017-09-01,Sommerferien
338,2017-09-02,Sommerferien
339,2017-09-03,Sommerferien
340,2017-09-04,Sommerferien
341,2017-09-05,Sommerferien
342,2017-09-06,Sommerferien
343,2017-09-07,Sommerferien
344,2017-09-08,Sommerferien
345,2017-09-09,Sommerferien
346,2017-09-10,Sommerferien
347,2017-10-30,Herbstferien
348,2017-10-31,Herbstferien
349,2017-11-01,Herbstferien
350,2017-11-02,Herbstferien
351,2017-11-03,Herbstferien
352,2017-11-04,Herbstferien
353,2017-12-22,Weihnachtsferien
354,2017-12-23,Weihnachtsferien
355,2017-12-24,Weihnachtsferien
356,2017-12-25,Weihnachtsferien
357,2017-12-26,Weihnachtsferien
358,2017-12-27,Weihnachtsferien
359,2017-12-28,Weihnachtsferien
360,2017-12-29,Weihnachtsferien
361,2017-12-30,Weihnachtsferien
362,2017-12-31,Weihnachtsferien
363,2018-01-01,Weihnachtsferien
364,2018-01-02,Weihnachtsferien
365,2018-01-03,Weihnachtsferien
366,2018-01-04,Weihnachtsferien
367,2018-01-05,Weihnachtsferien
368,2018-01-06,Weihnachtsferien
369,2018-03-26,Osterferien
370,2018-03-27,Osterferien
371,2018-03-28,Osterferien
372,2018-03-29,Osterferien
373,2018-03-30,Osterferien
374,2018-03-31,Osterferien
375,2018-04-01,Osterferien
376,2018-04-02,Osterferien
377,2018-04-03,Osterferien
378,2018-04-04,Osterferien
379,2018-04-05,Osterferien
380,2018-04-06,Osterferien
381,2018-04-07,Osterferien
382,2018-05-22,Pfingstferien
383,2018-05-23,Pfingstferien
384,2018-05-24,Pfingstferien
385,2018-05-25,Pfingstferien
386,2018-05-26,Pfingstferien
387,2018-05-27,Pfingstferien
388,2018-05-28,Pfingstferien
389,2018-05-29,Pfingstferien
390,2018-05-30,Pfingstferien
391,2018-05-31,Pfingstferien
392,2018-06-01,Pfingstferien
393,2018-06-02,Pfingstferien
394,2018-06-03,Pfingstferien
395,2018-07-26,Sommerferien
396,2018-07-27,Sommerferien
397,2018-07-28,Sommerferien
398,2018-07-29,Sommerferien
399,2018-07-30,Sommerferien
400,2018-07-31,Sommerferien
401,2018-08-01,Sommerferien
402,2018-08-02,Sommerferien
403,2018-08-03,Sommerferien
404,2018-08-04,Sommerferien
405,2018-08-05,Sommerferien
406,2018-08-06,Sommerferien
407,2018-08-07,Sommerferien
408,2018-08-08,Sommerferien
409,2018-08-09,Sommerferien
410,2018-08-10,Sommerferien
411,2018-08-11,Sommerferien
412,2018-08-12,Sommerferien
413,2018-08-13,Sommerferien
414,2018-08-14,Sommerferien
415,2018-08-15,Sommerferien
416,2018-08-16,Sommerferien
417,2018-08-17,Sommerferien
418,2018-08-18,Sommerferien
419,2018-08-19,Sommerferien
420,2018-08-20,Sommerferien
421,2018-08-21,Sommerferien
422,2018-08-22,Sommerferien
423,2018-08-23,Sommerferien
424,2018-08-24,Sommerferien
425,2018-08-25,Sommerferien
426,2018-08-26,Sommerferien
427,2018-08-27,Sommerferien
428,2018-08-28,Sommerferien
429,2018-08-29,Sommerferien
430,2018-08-30,Sommerferien
431,2018-08-31,Sommerferien
432,2018-09-01,Sommerferien
433,2018-09-02,Sommerferien
434,2018-09-03,Sommerferien
435,2018-09-04,Sommerferien
436,2018-09-05,Sommerferien
437,2018-09-06,Sommerferien
438,2018-09-07,Sommerferien
439,2018-09-08,Sommerferien
440,2018-09-09,Sommerferien
441,2018-10-29,Herbstferien
442,2018-10-30,Herbstferien
443,2018-10-31,Herbstferien
444,2018-11-01,Herbstferien
445,2018-11-02,Herbstferien
446,2018-11-03,Herbstferien
447,2018-12-24,Weihnachtsferien
448,2018-12-25,Weihnachtsferien
449,2018-12-26,Weihnachtsferien
450,2018-12-27,Weihnachtsferien
451,2018-12-28,Weihnachtsferien
452,2018-12-29,Weihnachtsferien
453,2018-12-30,Weihnachtsferien
454,2018-12-31,Weihnachtsferien
455,2019-01-01,Weihnachtsferien
456,2019-01-02,Weihnachtsferien
457,2019-01-03,Weihnachtsferien
458,2019-01-04,Weihnachtsferien
459,2019-01-05,Weihnachtsferien
460,2019-01-06,Weihnachtsferien
