,ds,holiday
0,2014-01-31,Winterferien
1,2014-02-01,Winterferien
2,2014-03-03,Osterferien
3,2014-03-04,Osterferien
4,2014-03-05,Osterferien
5,2014-03-06,Osterferien
6,2014-03-07,Osterferien
7,2014-03-08,Osterferien
8,2014-03-09,Osterferien
9,2014-03-10,Osterferien
10,2014-03-11,Osterferien
11,2014-03-12,Osterferien
12,2014-03-13,Osterferien
13,2014-03-14,Osterferien
14,2014-03-15,Osterferien
15,2014-04-28,Pfingstferien
16,2014-04-29,Pfingstferien
17,2014-04-30,Pfingstferien
18,2014-05-01,Pfingstferien
19,2014-05-02,Pfingstferien
20,2014-05-03,Pfingstferien
21,2014-05-30,Pfingstferien
22,2014-05-31,Pfingstferien
23,2014-07-10,Sommerferien
24,2014-07-11,Sommerferien
25,2014-07-12,Sommerferien
26,2014-07-13,Sommerferien
27,2014-07-14,Sommerferien
28,2014-07-15,Sommerferien
29,2014-07-16,Sommerferien
30,2014-07-17,Sommerferien
31,2014-07-18,Sommerferien
32,2014-07-19,Sommerferien
33,2014-07-20,Sommerferien
34,2014-07-21,Sommerferien
35,2014-07-22,Sommerferien
36,2014-07-23,Sommerferien
37,2014-07-24,Sommerferien
38,2014-07-25,Sommerferien
39,2014-07-26,Sommerferien
40,2014-07-27,Sommerferien
41,2014-07-28,Sommerferien
42,2014-07-29,Sommerferien
43,2014-07-30,Sommerferien
44,2014-07-31,Sommerferien
45,2014-08-01,Sommerferien
46,2014-08-02,Sommerferien
47,2014-08-03,Sommerferien
48,2014-08-04,Sommerferien
49,2014-08-05,Sommerferien
50,2014-08-06,Sommerferien
51,2014-08-07,Sommerferien
52,2014-08-08,Sommerferien
53,2014-08-09,Sommerferien
54,2014-08-10,Sommerferien
55,2014-08-11,Sommerferien
56,2014-08-12,Sommerferien
57,2014-08-13,Sommerferien
58,2014-08-14,Sommerferien
59,2014-08-15,Sommerferien
60,2014-08-16,Sommerferien
61,2014-08-17,Sommerferien
62,2014-08-18,Sommerferien
63,2014-08-19,Sommerferien
64,2014-08-20,Sommerferien
65,2014-08-21,Sommerferien
66,2014-10-13,Herbstferien
67,2014-10-14,Herbstferien
68,2014-10-15,Herbstferien
69,2014-10-16,Herbstferien
70,2014-10-17,Herbstferien
71,2014-10-18,Herbstferien
72,2014-10-19,Herbstferien
73,2014-10-20,Herbstferien
74,2014-10-21,Herbstferien
75,2014-10-22,Herbstferien
76,2014-10-23,Herbstferien
77,2014-10-24,Herbstferien
78,2014-10-25,Herbstferien
79,2014-12-22,Weihnachtsferien
80,2014-12-23,Weihnachtsferien
81,2014-12-24,Weihnachtsferien
82,2014-12-25,Weihnachtsferien
83,2014-12-26,Weihnachtsferien
84,2014-12-27,Weihnachtsferien
85,2014-12-28,Weihnachtsferien
86,2014-12-29,Weihnachtsferien
87,2014-12-30,Weihnachtsferien
88,2014-12-31,Weihnachtsferien
89,2015-01-01,Weihnachtsferien
90,2015-01-02,Weihnachtsferien
91,2015-01-03,Weihnachtsferien
92,2015-01-04,Weihnachtsferien
93,2015-01-05,Weihnachtsferien
94,2015-01-06,Weihnachtsferien
95,2015-01-07,Weihnachtsferien
96,2015-01-30,Winterferien
97,2015-01-31,Winterferien
98,2015-03-02,Osterferien
99,2015-03-03,Osterferien
100,2015-03-04,Osterferien
101,2015-03-05,Osterferien
102,2015-03-06,Osterferien
103,2015-03-07,Osterferien
104,2015-03-08,Osterferien
105,2015-03-09,Osterferien
106,2015-03-10,Osterferien
107,2015-03-11,Osterferien
108,2015-03-12,Osterferien
109,2015-03-13,Osterferien
110,2015-03-14,Osterferien
111,2015-05-11,Pfingstferien
112,2015-05-12,Pfingstferien
113,2015-05-13,Pfingstferien
114,2015-05-14,Pfingstferien
115,2015-05-15,Pfingstferien
116,2015-05-16,Pfingstferien
117,2015-07-16,Sommerferien
118,2015-07-17,Sommerferien
119,2015-07-18,Sommerferien
120,2015-07-19,Sommerferien
121,2015-07-20,Sommerferien
122,2015-07-21,Sommerferien
123,2015-07-22,Sommerferien
124,2015-07-23,Sommerferien
125,2015-07-24,Sommerferien
126,2015-07-25,Sommerferien
127,2015-07-26,Sommerferien
128,2015-07-27,Sommerferien
129,2015-07-28,Sommerferien
130,2015-07-29,Sommerferien
131,2015-07-30,Sommerferien
132,2015-07-31,Sommerferien
133,2015-08-01,Sommerferien
134,2015-08-02,Sommerferien
135,2015-08-03,Sommerferien
136,2015-08-04,Sommerferien
137,2015-08-05,Sommerferien
138,2015-08-06,Sommerferien
139,2015-08-07,Sommerferien
140,2015-08-08,Sommerferien
141,2015-08-09,Sommerferien
142,2015-08-10,Sommerferien
143,2015-08-11,Sommerferien
144,2015-08-12,Sommerferien
145,2015-08-13,Sommerferien
146,2015-08-14,Sommerferien
147,2015-08-15,Sommerferien
148,2015-08-16,Sommerferien
149,2015-08-17,Sommerferien
150,2015-08-18,Sommerferien
151,2015-08-19,Sommerferien
152,2015-08-20,Sommerferien
153,2015-08-21,Sommerferien
