,ds,holiday
0,2014-04-11,Osterferien
1,2014-04-12,Osterferien
2,2014-04-13,Osterferien
3,2014-04-14,Osterferien
4,2014-04-15,Osterferien
5,2014-04-16,Osterferien
6,2014-04-17,Osterferien
7,2014-04-18,Osterferien
8,2014-04-19,Osterferien
9,2014-04-20,Osterferien
10,2014-04-21,Osterferien
11,2014-04-22,Osterferien
12,2014-04-23,Osterferien
13,2014-04-24,Osterferien
14,2014-04-25,Osterferien
15,2014-04-26,Osterferien
16,2014-07-28,Sommerferien
17,2014-07-29,Sommerferien
18,2014-07-30,Sommerferien
19,2014-07-31,Sommerferien
20,2014-08-01,Sommerferien
21,2014-08-02,Sommerferien
22,2014-08-03,Sommerferien
23,2014-08-04,Sommerferien
24,2014-08-05,Sommerferien
25,2014-08-06,Sommerferien
26,2014-08-07,Sommerferien
27,2014-08-08,Sommerferien
28,2014-08-09,Sommerferien
29,2014-08-10,Sommerferien
30,2014-08-11,Sommerferien
31,2014-08-12,Sommerferien
32,2014-08-13,Sommerferien
33,2014-08-14,Sommerferien
34,2014-08-15,Sommerferien
35,2014-08-16,Sommerferien
36,2014-08-17,Sommerferien
37,2014-08-18,Sommerferien
38,2014-08-19,Sommerferien
39,2014-08-20,Sommerferien
40,2014-08-21,Sommerferien
41,2014-08-22,Sommerferien
42,2014-08-23,Sommerferien
43,2014-08-24,Sommerferien
44,2014-08-25,Sommerferien
45,2014-08-26,Sommerferien
46,2014-08-27,Sommerferien
47,2014-08-28,Sommerferien
48,2014-08-29,Sommerferien
49,2014-08-30,Sommerferien
50,2014-08-31,Sommerferien
51,2014-09-01,Sommerferien
52,2014-09-02,Sommerferien
53,2014-09-03,Sommerferien
54,2014-09-04,Sommerferien
55,2014-09-05,Sommerferien
56,2014-09-06,Sommerferien
57,2014-10-20,Herbstferien
58,2014-10-21,Herbstferien
59,2014-10-22,Herbstferien
60,2014-10-23,Herbstferien
61,2014-10-24,Herbstferien
62,2014-10-25,Herbstferien
63,2014-10-26,Herbstferien
64,2014-10-27,Herbstferien
65,2014-10-28,Herbstferien
66,2014-10-29,Herbstferien
67,2014-10-30,Herbstferien
68,2014-10-31,Herbstferien
69,2014-11-01,Herbstferien
70,2014-12-22,Weihnachtsferien
71,2014-12-23,Weihnachtsferien
72,2014-12-24,Weihnachtsferien
73,2014-12-25,Weihnachtsferien
74,2014-12-26,Weihnachtsferien
75,2014-12-27,Weihnachtsferien
76,2014-12-28,Weihnachtsferien
77,2014-12-29,Weihnachtsferien
78,2014-12-30,Weihnachtsferien
79,2014-12-31,Weihnachtsferien
80,2015-01-01,Weihnachtsferien
81,2015-01-02,Weihnachtsferien
82,2015-01-03,Weihnachtsferien
83,2015-01-04,Weihnachtsferien
84,2015-01-05,Weihnachtsferien
85,2015-01-06,Weihnachtsferien
86,2015-01-07,Weihnachtsferien
87,2015-01-08,Weihnachtsferien
88,2015-03-26,Osterferien
89,2015-03-27,Osterferien
90,2015-03-28,Osterferien
91,2015-03-29,Osterferien
92,2015-03-30,Osterferien
93,2015-03-31,Osterferien
94,2015-04-01,Osterferien
95,2015-04-02,Osterferien
96,2015-04-03,Osterferien
97,2015-04-04,Osterferien
98,2015-04-05,Osterferien
99,2015-04-06,Osterferien
100,2015-04-07,Osterferien
101,2015-04-08,Osterferien
102,2015-04-09,Osterferien
103,2015-04-10,Osterferien
104,2015-04-11,Osterferien
105,2015-07-27,Sommerferien
106,2015-07-28,Sommerferien
107,2015-07-29,Sommerferien
108,2015-07-30,Sommerferien
109,2015-07-31,Sommerferien
110,2015-08-01,Sommerferien
111,2015-08-02,Sommerferien
112,2015-08-03,Sommerferien
113,2015-08-04,Sommerferien
114,2015-08-05,Sommerferien
115,2015-08-06,Sommerferien
116,2015-08-07,Sommerferien
117,2015-08-08,Sommerferien
118,2015-08-09,Sommerferien
119,2015-08-10,Sommerferien
120,2015-08-11,Sommerferien
121,2015-08-12,Sommerferien
122,2015-08-13,Sommerferien
123,2015-08-14,Sommerferien
124,2015-08-15,Sommerferien
125,2015-08-16,Sommerferien
126,2015-08-17,Sommerferien
127,2015-08-18,Sommerferien
128,2015-08-19,Sommerferien
129,2015-08-20,Sommerferien
130,2015-08-21,Sommerferien
131,2015-08-22,Sommerferien
132,2015-08-23,Sommerferien
133,2015-08-24,Sommerferien
134,2015-08-25,Sommerferien
135,2015-08-26,Sommerferien
136,2015-08-27,Sommerferien
137,2015-08-28,Sommerferien
138,2015-08-29,Sommerferien
139,2015-08-30,Sommerferien
140,2015-08-31,Sommerferien
141,2015-09-01,Sommerferien
142,2015-09-02,Sommerferien
143,2015-09-03,Sommerferien
144,2015-09-04,Sommerferien
145,2015-09-05,Sommerferien
146,2015-10-19,Herbstferien
147,2015-10-20,Herbstferien
148,2015-10-21,Herbstferien
149,2015-10-22,Herbstferien
150,2015-10-23,Herbstferien
151,2015-10-24,Herbstferien
152,2015-10-25,Herbstferien
153,2015-10-26,Herbstferien
154,2015-10-27,Herbstferien
155,2015-10-28,Herbstferien
156,2015-10-29,Herbstferien
157,2015-10-30,Herbstferien
158,2015-10-31,Herbstferien
159,2015-12-23,Weihnachtsferien
160,2015-12-24,Weihnachtsferien
161,2015-12-25,Weihnachtsferien
162,2015-12-26,Weihnachtsferien
163,2015-12-27,Weihnachtsferien
164,2015-12-28,Weihnachtsferien
165,2015-12-29,Weihnachtsferien
166,2015-12-30,Weihnachtsferien
167,2015-12-31,Weihnachtsferien
168,2016-01-01,Weihnachtsferien
169,2016-01-02,Weihnachtsferien
170,2016-01-03,Weihnachtsferien
171,2016-01-04,Weihnachtsferien
172,2016-01-05,Weihnachtsferien
173,2016-01-06,Weihnachtsferien
174,2016-01-07,Weihnachtsferien
175,2016-01-08,Weihnachtsferien
176,2016-01-09,Weihnachtsferien
177,2016-03-18,Osterferien
178,2016-03-19,Osterferien
179,2016-03-20,Osterferien
180,2016-03-21,Osterferien
181,2016-03-22,Osterferien
182,2016-03-23,Osterferien
183,2016-03-24,Osterferien
184,2016-03-25,Osterferien
185,2016-03-26,Osterferien
186,2016-03-27,Osterferien
187,2016-03-28,Osterferien
188,2016-03-29,Osterferien
189,2016-03-30,Osterferien
190,2016-03-31,Osterferien
